Lee,Anthony,Anthony Lee,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,1,0,1,0,7,3,0,11,5,0,11-5-0,7,1,0,4,4,0,1,0,0,0,4,2,0,22,Top 32,Cosmos Heavy Play,Izzet Prowess,,,,,
Talbot,Nick,Nick Talbot,SOS,Standard,14,1/05/2026,1,0,5,1,0,2,2,0,1,0,6,4,0,11,5,0,11-5-0,4,4,0,7,1,0,0,0,0,0,5,3,1,23,Top 32,The Coalition,Mono-Green Landfall,,,,,
von Stange,Alex,Alex von Stange,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,2,0,0,0,7,3,0,11,5,0,11-5-0,6,2,0,5,3,0,1,0,0,0,3,1,0,24,Top 32,Worldly Counsel Heavy Play,Izzet Prowess,,,,,
Torres,Bernardo,Bernardo Torres,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,8,2,0,11,5,0,11-5-0,6,2,0,5,3,0,1,0,0,0,4,2,0,25,Top 32,Double Infinity,Izzet Spellementals,,,,,
Courtiat,Robin,Robin Courtiat,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,8,2,0,11,5,0,11-5-0,6,2,0,5,3,0,0,0,0,0,6,2,1,26,Top 32,Undying Baguette,Izzet Prowess,,,,,
Huschenbeth,Arne,Arne Huschenbeth,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,8,2,0,11,5,0,11-5-0,6,2,0,5,3,0,0,0,0,0,5,2,1,27,Top 32,Handshake Moxfield,Mono-Green Landfall,,,,,
Rizzi,Mattia,Mattia Rizzi,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,8,2,0,11,5,0,11-5-0,5,3,0,6,2,0,0,0,0,0,4,2,0,28,Top 32,Drawing Board,Izzet Prowess,,,,,
Stark,Ben,Ben Stark,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,8,2,0,11,5,0,11-5-0,5,3,0,6,2,0,0,0,0,0,6,3,1,29,Top 32,Rampant Growth,Mono-Green Landfall,,,,,
Kral,Chris,Chris Kral,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,1,1,1,0,7,3,0,11,5,0,11-5-0,5,3,0,6,2,0,1,0,0,0,5,1,1,30,Top 32,Main Phase,Mardu Discard,,,,,
Lee,Rick Hup Beng,Rick Hup Beng Lee,SOS,Standard,14,1/05/2026,1,0,2,4,0,2,1,1,0,1,9,1,0,11,5,0,11-5-0,5,3,0,6,2,0,1,0,0,0,6,3,1,31,Top 32,,Dimir Excruciator,,,,,
Sanfeliu,Josep,Josep Sanfeliu,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,0,0,8,2,0,11,5,0,11-5-0,5,3,0,6,2,0,0,0,0,0,6,3,1,32,Top 32,Cosmos Heavy Play,Selesnya Landfall,,,,,
Green,Paul,Paul Green,SOS,Standard,14,1/05/2026,1,0,3,3,0,2,1,1,1,1,8,2,0,11,5,0,11-5-0,5,3,0,6,2,0,1,0,0,0,8,3,1,33,Day 2,Merlion,Mono-Green Landfall,,,,,
Potter,Jack,Jack Potter,SOS,Standard,14,1/05/2026,1,0,2,3,1,2,1,1,0,1,8,2,0,10,5,1,10-5-1,7,0,1,3,5,0,0,0,0,0,7,3,1,34,Day 2,Rampant Growth,Mono-Green Landfall,,,,,
Offman,Noé,Noé Offman,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,1,1,1,0,6,4,0,10,6,0,10-6-0,7,1,0,3,5,0,1,0,0,0,6,3,1,35,Day 2,Worldly Counsel Heavy Play,Izzet Prowess,,,,,
Inoue,Toru,Toru Inoue,SOS,Standard,14,1/05/2026,1,0,4,2,0,2,1,1,1,0,6,4,0,10,6,0,10-6-0,6,2,0,4,4,0,1,0,0,0,5,2,1,36,Day 2,Moriyama Japan,Izzet Spellementals,,,,,
Martos,Toni,Toni Martos,SOS,Standard,14,1/05/2026,1,0,5,1,0,2,2,0,1,0,5,5,0,10,6,0,10-6-0,5,3,0,5,3,0,0,0,0,0,4,2,0,37,Day 2,Pluto,Izzet Prowess,,,,,
Mitchell-Rabaey,Jacob,Jacob Mitchell-Rabaey,SOS,Standard,14,1/05/2026,1,0,6,0,0,2,2,0,2,0,4,6,0,10,6,0,10-6-0,5,3,0,5,3,0,1,0,0,0,5,3,1,38,Day 2,Rampant Growth,Izzet Prowess,,,,,
